incidencia_id;viaje_id;vehiculo_id;conductor_id;linea_id;fecha;anno;mes;hora_incidencia;tipo_incidencia;categoria;severidad;requiere_retirada;duracion_resolucion_dias;vehiculo_sustituto;coste_estimado_eur
82;13625;18;18;5;27/11/2022;2022;11;14:52:00;Averia mecanica;Vehiculo;Alta;VERDADERO;91;VERDADERO;109847
83;30639;22;8;10;03/04/2024;2024;4;5:30:00;Retencion trafico;Externo;Baja;FALSO;7;FALSO;2776
84;30441;34;6;5;07/10/2023;2023;10;16:05:00;Averia mecanica;Vehiculo;Alta;VERDADERO;5;VERDADERO;147088
85;36057;22;22;4;25/09/2022;2022;9;6:42:00;Accidente leve;Seguridad;Alta;VERDADERO;5;VERDADERO;188541
86;42652;23;9;6;15/10/2024;2024;10;21:50:00;Pinchazo;Vehiculo;Media;VERDADERO;14;VERDADERO;3921
87;36804;13;13;4;31/01/2022;2022;1;11:24:00;Huelga parcial;Operacional;Alta;VERDADERO;80;VERDADERO;0
88;48225;10;10;6;17/01/2024;2024;1;16:03:00;Accidente grave;Seguridad;Critica;VERDADERO;55;VERDADERO;947244
89;29227;38;24;8;12/09/2023;2023;9;12:33:00;Fallo electrico;Vehiculo;Alta;VERDADERO;45;VERDADERO;10879
90;5634;7;7;2;13/03/2022;2022;3;15:06:00;Huelga parcial;Operacional;Alta;VERDADERO;19;VERDADERO;0
91;5988;25;25;6;14/05/2023;2023;5;7:40:00;Fallo electrico;Vehiculo;Alta;VERDADERO;15;FALSO;97454
92;48064;17;17;2;23/07/2022;2022;7;16:23:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;8248
93;1813;8;22;3;07/03/2024;2024;3;15:02:00;Retencion trafico;Externo;Baja;FALSO;12;FALSO;3876
94;27579;28;28;5;29/09/2022;2022;9;9:55:00;Pinchazo;Vehiculo;Media;VERDADERO;8;VERDADERO;32469
95;16824;25;25;9;25/02/2024;2024;2;10:30:00;Accidente leve;Seguridad;Alta;VERDADERO;36;FALSO;327541
96;3929;24;10;8;26/07/2024;2024;7;19:07:00;Fallo electrico;Vehiculo;Alta;VERDADERO;49;VERDADERO;175919
97;37287;34;20;8;16/06/2023;2023;6;14:58:00;Condiciones meteo;Externo;Media;FALSO;51;FALSO;0
98;25046;15;15;3;02/11/2024;2024;11;7:05:00;Pinchazo;Vehiculo;Media;VERDADERO;61;VERDADERO;37013
99;15728;21;21;4;25/10/2024;2024;10;9:20:00;Retencion trafico;Externo;Baja;FALSO;99;FALSO;3472
100;29601;34;6;2;14/01/2024;2024;1;15:31:00;Condiciones meteo;Externo;Media;FALSO;18;FALSO;0
101;10431;16;16;7;29/06/2022;2022;6;19:11:00;Accidente grave;Seguridad;Critica;VERDADERO;34;VERDADERO;140090
102;25769;24;10;7;03/12/2024;2024;12;19:41:00;Fallo climatizacion;Vehiculo;Baja;FALSO;8;FALSO;10405
103;29104;41;13;1;09/09/2024;2024;9;9:53:00;Accidente grave;Seguridad;Critica;VERDADERO;23;FALSO;1333643
104;36538;41;27;7;19/09/2023;2023;9;17:42:00;Accidente leve;Seguridad;Alta;VERDADERO;70;VERDADERO;294537
105;39329;18;18;9;23/08/2024;2024;8;6:17:00;Condiciones meteo;Externo;Media;FALSO;9;FALSO;0
106;35540;9;9;5;09/01/2023;2023;1;11:40:00;Fallo climatizacion;Vehiculo;Baja;FALSO;23;FALSO;29712
107;28076;21;21;6;23/05/2024;2024;5;19:43:00;Huelga parcial;Operacional;Alta;VERDADERO;36;VERDADERO;0
108;17841;34;6;7;01/12/2022;2022;12;13:20:00;Obras calzada;Externo;Media;FALSO;6;FALSO;0
109;27803;42;28;1;14/07/2024;2024;7;13:45:00;Condiciones meteo;Externo;Media;FALSO;37;FALSO;0
110;7683;40;12;5;13/10/2022;2022;10;15:52:00;Fallo climatizacion;Vehiculo;Baja;FALSO;57;FALSO;9106
111;24280;5;5;10;13/11/2024;2024;11;1:01:00;Huelga parcial;Operacional;Alta;VERDADERO;7;VERDADERO;0
112;33071;18;4;3;29/01/2023;2023;1;21:04:00;Pasajero enfermo;Servicio;Media;FALSO;11;FALSO;2329
113;35558;27;27;7;08/02/2023;2023;2;16:22:00;Obras calzada;Externo;Media;FALSO;8;FALSO;0
114;37190;21;7;2;11/12/2023;2023;12;8:52:00;Fallo climatizacion;Vehiculo;Baja;FALSO;5;FALSO;25853
115;47150;27;27;5;16/02/2022;2022;2;20:09:00;Obras calzada;Externo;Media;FALSO;17;FALSO;0
116;46916;3;17;10;18/11/2023;2023;11;4:10:00;Vandalismo;Seguridad;Media;FALSO;17;FALSO;70031
117;9802;17;3;4;26/08/2023;2023;8;9:31:00;Condiciones meteo;Externo;Media;FALSO;13;FALSO;0
118;38801;36;22;8;01/12/2022;2022;12;19:22:00;Pinchazo;Vehiculo;Media;VERDADERO;13;VERDADERO;16234
119;24670;17;3;1;05/03/2024;2024;3;22:14:00;Retencion trafico;Externo;Baja;FALSO;10;FALSO;4129
120;44234;9;23;3;06/02/2024;2024;2;20:22:00;Vandalismo;Seguridad;Media;FALSO;34;FALSO;21479
121;31920;1;1;3;13/11/2023;2023;11;22:03:00;Fallo electrico;Vehiculo;Alta;VERDADERO;47;FALSO;41654
122;7135;38;24;7;12/01/2023;2023;1;21:21:00;Obras calzada;Externo;Media;FALSO;6;FALSO;0
123;33705;22;22;6;18/10/2024;2024;10;17:14:00;Huelga parcial;Operacional;Alta;VERDADERO;115;VERDADERO;0
124;29661;10;10;9;07/11/2023;2023;11;17:15:00;Condiciones meteo;Externo;Media;FALSO;5;FALSO;0
125;17894;3;3;3;30/03/2023;2023;3;12:10:00;Accidente leve;Seguridad;Alta;VERDADERO;15;VERDADERO;203739
126;22019;12;12;4;29/04/2024;2024;4;20:45:00;Huelga parcial;Operacional;Alta;VERDADERO;43;VERDADERO;0
127;13539;16;16;4;23/01/2023;2023;1;12:34:00;Huelga parcial;Operacional;Alta;VERDADERO;61;VERDADERO;0
128;43119;28;28;6;19/07/2023;2023;7;12:42:00;Condiciones meteo;Externo;Media;FALSO;75;FALSO;0
129;36421;8;22;6;24/05/2022;2022;5;18:50:00;Averia mecanica;Vehiculo;Alta;VERDADERO;11;FALSO;263645
130;9406;41;27;7;10/02/2024;2024;2;14:14:00;Pinchazo;Vehiculo;Media;VERDADERO;12;VERDADERO;30155
131;13414;17;3;6;13/11/2022;2022;11;12:51:00;Condiciones meteo;Externo;Media;FALSO;10;FALSO;0
132;6721;2;2;2;07/08/2024;2024;8;19:53:00;Pasajero enfermo;Servicio;Media;FALSO;16;FALSO;2191
133;15602;21;7;6;12/09/2022;2022;9;19:40:00;Obras calzada;Externo;Media;FALSO;5;FALSO;0
134;44744;15;1;4;08/08/2024;2024;8;13:49:00;Condiciones meteo;Externo;Media;FALSO;5;FALSO;0
135;31139;18;4;1;14/11/2024;2024;11;16:12:00;Pasajero enfermo;Servicio;Media;FALSO;35;FALSO;133
136;2730;1;15;6;06/05/2024;2024;5;11:13:00;Pinchazo;Vehiculo;Media;VERDADERO;14;FALSO;15428
137;38243;24;24;5;03/01/2024;2024;1;19:06:00;Pasajero enfermo;Servicio;Media;FALSO;51;FALSO;5267
138;29626;17;3;2;12/10/2022;2022;10;22:42:00;Obras calzada;Externo;Media;FALSO;38;FALSO;0
139;47895;16;16;4;22/05/2023;2023;5;10:11:00;Accidente grave;Seguridad;Critica;VERDADERO;109;VERDADERO;620319
140;42091;8;8;3;05/04/2023;2023;4;7:40:00;Averia mecanica;Vehiculo;Alta;VERDADERO;9;VERDADERO;29407
141;36400;29;1;7;10/06/2022;2022;6;14:30:00;Averia mecanica;Vehiculo;Alta;VERDADERO;47;VERDADERO;205027
142;6245;30;2;5;01/01/2024;2024;1;6:09:00;Accidente leve;Seguridad;Alta;VERDADERO;19;VERDADERO;23283
143;5546;3;3;7;20/07/2023;2023;7;16:29:00;Accidente grave;Seguridad;Critica;VERDADERO;6;VERDADERO;108339
144;4065;34;6;10;13/07/2022;2022;7;23:44:00;Averia mecanica;Vehiculo;Alta;VERDADERO;23;VERDADERO;121176
145;12852;1;1;5;16/03/2023;2023;3;21:30:00;Pasajero enfermo;Servicio;Media;FALSO;19;FALSO;27
146;21803;6;20;9;22/06/2024;2024;6;7:10:00;Retencion trafico;Externo;Baja;FALSO;5;FALSO;3955
147;41164;5;5;5;27/10/2022;2022;10;8:54:00;Huelga parcial;Operacional;Alta;VERDADERO;5;VERDADERO;0
148;6233;18;18;9;25/10/2024;2024;10;6:16:00;Huelga parcial;Operacional;Alta;VERDADERO;8;VERDADERO;0
149;3863;42;28;7;29/08/2023;2023;8;11:27:00;Retencion trafico;Externo;Baja;FALSO;9;FALSO;1178
150;35095;26;12;8;16/09/2024;2024;9;15:37:00;Fallo electrico;Vehiculo;Alta;VERDADERO;184;FALSO;106264
151;40196;3;17;6;01/09/2023;2023;9;21:33:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;222
152;39251;24;24;3;05/08/2022;2022;8;6:03:00;Pasajero enfermo;Servicio;Media;FALSO;10;FALSO;2756
153;6218;3;3;1;10/02/2022;2022;2;13:34:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;7362
154;36776;27;13;1;24/01/2024;2024;1;8:45:00;Fallo climatizacion;Vehiculo;Baja;FALSO;13;FALSO;5042
155;42977;12;26;9;05/11/2023;2023;11;17:51:00;Pinchazo;Vehiculo;Media;VERDADERO;17;VERDADERO;35171
156;48468;1;1;3;11/09/2023;2023;9;14:44:00;Huelga parcial;Operacional;Alta;VERDADERO;34;VERDADERO;0
157;14832;7;21;10;09/02/2022;2022;2;4:20:00;Vandalismo;Seguridad;Media;FALSO;55;FALSO;70061
158;30093;22;22;4;16/02/2024;2024;2;6:23:00;Condiciones meteo;Externo;Media;FALSO;5;FALSO;0
159;8894;33;19;8;28/11/2024;2024;11;15:52:00;Pasajero enfermo;Servicio;Media;FALSO;27;FALSO;7048
160;6021;16;2;8;01/04/2022;2022;4;13:50:00;Pinchazo;Vehiculo;Media;VERDADERO;18;VERDADERO;17385
161;46089;16;2;9;15/03/2024;2024;3;20:53:00;Retencion trafico;Externo;Baja;FALSO;6;FALSO;177
162;15243;40;12;6;16/07/2023;2023;7;17:56:00;Pinchazo;Vehiculo;Media;VERDADERO;9;VERDADERO;30072
163;45308;33;5;7;16/04/2024;2024;4;9:20:00;Averia mecanica;Vehiculo;Alta;VERDADERO;14;VERDADERO;138634
164;26551;8;8;2;01/03/2022;2022;3;20:15:00;Obras calzada;Externo;Media;FALSO;36;FALSO;0
165;6035;30;16;1;15/08/2023;2023;8;9:32:00;Fallo climatizacion;Vehiculo;Baja;FALSO;35;FALSO;19882
166;7906;11;11;1;24/01/2024;2024;1;13:21:00;Pinchazo;Vehiculo;Media;VERDADERO;5;VERDADERO;34973
167;32226;13;27;5;10/05/2023;2023;5;15:20:00;Obras calzada;Externo;Media;FALSO;22;FALSO;0
168;6018;13;27;2;20/02/2024;2024;2;17:27:00;Retencion trafico;Externo;Baja;FALSO;9;FALSO;19
169;21880;41;13;6;30/11/2022;2022;11;12:21:00;Fallo electrico;Vehiculo;Alta;VERDADERO;84;FALSO;129278
170;2792;21;21;2;03/10/2023;2023;10;6:19:00;Averia mecanica;Vehiculo;Alta;VERDADERO;103;VERDADERO;157749
171;42606;19;19;8;06/03/2024;2024;3;9:50:00;Vandalismo;Seguridad;Media;FALSO;6;FALSO;66527
172;5824;29;1;5;01/12/2023;2023;12;9:12:00;Accidente leve;Seguridad;Alta;VERDADERO;5;VERDADERO;71741
173;15388;17;17;8;12/11/2023;2023;11;18:21:00;Condiciones meteo;Externo;Media;FALSO;27;FALSO;0
174;29562;37;23;4;07/10/2023;2023;10;7:29:00;Accidente leve;Seguridad;Alta;VERDADERO;39;VERDADERO;83888
175;39476;39;25;7;10/01/2022;2022;1;11:02:00;Obras calzada;Externo;Media;FALSO;5;FALSO;0
176;293;42;14;2;03/02/2024;2024;2;19:16:00;Pasajero enfermo;Servicio;Media;FALSO;10;FALSO;96
177;16958;33;19;4;14/07/2024;2024;7;21:21:00;Pasajero enfermo;Servicio;Media;FALSO;33;FALSO;8135
178;30861;34;6;10;13/10/2023;2023;10;23:28:00;Obras calzada;Externo;Media;FALSO;16;FALSO;0
179;14074;5;19;8;30/09/2022;2022;9;19:20:00;Condiciones meteo;Externo;Media;FALSO;12;FALSO;0
180;21857;18;18;8;15/09/2022;2022;9;16:00:00;Averia mecanica;Vehiculo;Alta;VERDADERO;11;VERDADERO;271754
181;22080;31;17;6;14/09/2024;2024;9;11:03:00;Accidente leve;Seguridad;Alta;VERDADERO;74;VERDADERO;294335
182;17024;15;1;8;06/09/2022;2022;9;20:04:00;Huelga parcial;Operacional;Alta;VERDADERO;114;VERDADERO;0
183;8740;5;5;6;06/09/2023;2023;9;20:12:00;Fallo electrico;Vehiculo;Alta;VERDADERO;5;VERDADERO;96217
184;15826;35;7;2;23/04/2023;2023;4;18:13:00;Retencion trafico;Externo;Baja;FALSO;5;FALSO;607
185;2742;13;27;5;08/12/2022;2022;12;11:25:00;Accidente grave;Seguridad;Critica;VERDADERO;47;VERDADERO;232289
186;18049;32;18;6;30/06/2024;2024;6;8:29:00;Accidente grave;Seguridad;Critica;VERDADERO;5;FALSO;398006
187;49937;42;14;6;09/04/2022;2022;4;6:47:00;Vandalismo;Seguridad;Media;FALSO;5;FALSO;36696
188;17373;28;14;5;10/01/2024;2024;1;11:30:00;Fallo climatizacion;Vehiculo;Baja;FALSO;5;FALSO;24868
189;22022;15;15;3;05/02/2024;2024;2;18:16:00;Averia mecanica;Vehiculo;Alta;VERDADERO;23;VERDADERO;94683
190;46365;40;26;6;22/11/2023;2023;11;18:21:00;Accidente leve;Seguridad;Alta;VERDADERO;5;VERDADERO;333296
191;23538;19;19;1;11/11/2023;2023;11;21:03:00;Retencion trafico;Externo;Baja;FALSO;17;FALSO;4212
192;45500;15;1;1;25/04/2023;2023;4;12:04:00;Fallo electrico;Vehiculo;Alta;VERDADERO;5;FALSO;122609
193;40186;35;7;1;27/12/2023;2023;12;11:16:00;Pasajero enfermo;Servicio;Media;FALSO;5;FALSO;3564
194;9614;39;11;3;22/03/2022;2022;3;13:12:00;Huelga parcial;Operacional;Alta;VERDADERO;28;VERDADERO;0
195;43282;23;23;2;05/01/2024;2024;1;21:01:00;Pasajero enfermo;Servicio;Media;FALSO;22;FALSO;7867
196;37892;9;9;4;16/02/2022;2022;2;17:36:00;Obras calzada;Externo;Media;FALSO;35;FALSO;0
197;26179;14;28;8;21/05/2022;2022;5;15:33:00;Fallo electrico;Vehiculo;Alta;VERDADERO;75;VERDADERO;145856
198;45893;30;2;9;20/04/2022;2022;4;8:10:00;Retencion trafico;Externo;Baja;FALSO;5;FALSO;489
199;20934;19;19;2;07/11/2023;2023;11;21:41:00;Accidente grave;Seguridad;Critica;VERDADERO;33;VERDADERO;948696
200;40972;23;9;6;26/02/2024;2024;2;6:50:00;Averia mecanica;Vehiculo;Alta;VERDADERO;67;VERDADERO;251898
201;22225;8;22;5;21/02/2022;2022;2;11:05:00;Accidente leve;Seguridad;Alta;VERDADERO;7;FALSO;127031
202;24382;23;23;10;14/07/2023;2023;7;23:31:00;Pinchazo;Vehiculo;Media;VERDADERO;6;VERDADERO;38841
203;34856;39;25;10;04/01/2023;2023;1;3:40:00;Retencion trafico;Externo;Baja;FALSO;13;FALSO;1413
204;48578;27;27;5;01/12/2023;2023;12;16:38:00;Pinchazo;Vehiculo;Media;VERDADERO;10;VERDADERO;11046
205;38537;24;10;2;15/04/2023;2023;4;22:20:00;Fallo electrico;Vehiculo;Alta;VERDADERO;133;VERDADERO;98834
206;31756;5;5;3;22/12/2024;2024;12;11:42:00;Fallo electrico;Vehiculo;Alta;VERDADERO;5;VERDADERO;77425
207;7754;27;27;8;23/04/2022;2022;4;19:01:00;Pinchazo;Vehiculo;Media;VERDADERO;5;VERDADERO;31151
208;46639;20;20;10;28/11/2023;2023;11;22:50:00;Fallo climatizacion;Vehiculo;Baja;FALSO;10;FALSO;12951
209;43835;30;16;2;18/10/2024;2024;10;10:31:00;Obras calzada;Externo;Media;FALSO;60;FALSO;0
210;26236;29;1;5;26/11/2022;2022;11;21:15:00;Accidente grave;Seguridad;Critica;VERDADERO;74;VERDADERO;1353856
211;44230;5;19;9;11/06/2022;2022;6;13:40:00;Obras calzada;Externo;Media;FALSO;18;FALSO;0
212;49597;38;10;6;06/10/2024;2024;10;19:11:00;Condiciones meteo;Externo;Media;FALSO;27;FALSO;0
213;18553;32;18;8;06/09/2024;2024;9;21:57:00;Vandalismo;Seguridad;Media;FALSO;5;FALSO;6699
214;43137;4;18;10;21/11/2023;2023;11;0:41:00;Pasajero enfermo;Servicio;Media;FALSO;20;FALSO;7285
215;36673;8;22;5;17/07/2023;2023;7;7:33:00;Accidente leve;Seguridad;Alta;VERDADERO;34;VERDADERO;205701
216;43650;13;27;9;15/04/2022;2022;4;15:11:00;Obras calzada;Externo;Media;FALSO;8;FALSO;0
217;3941;36;22;10;13/10/2024;2024;10;0:30:00;Huelga parcial;Operacional;Alta;VERDADERO;238;VERDADERO;0
218;31497;40;26;7;30/05/2024;2024;5;14:34:00;Accidente grave;Seguridad;Critica;VERDADERO;47;VERDADERO;837209
219;26594;9;23;4;25/06/2023;2023;6;19:49:00;Accidente grave;Seguridad;Critica;VERDADERO;12;FALSO;944776
220;23922;25;11;9;15/01/2024;2024;1;17:21:00;Accidente leve;Seguridad;Alta;VERDADERO;14;FALSO;335108
